Min (Diameter) (µm),Max (Diameter) (µm),Mean (Diameter) (µm),Elongation,Sphericity,Shape Factor,Mean (Gray Intensity Value),Age (Ma),FILE_NAME,Area (µm²),Perimeter (µm)
207.02938672979204,271.44781213479183,242.32177511099945,2.2040751585820852,1.6955143691632022,1.8044972752991784,116.6903650746954,2.95014492753623,"925C,10H-3,116-118.xlsx",49343.72873781923,844.2268366257168
218.41545992433424,284.1978576230777,254.1779118221423,2.2005432356084755,1.699758710001941,1.8100330475606514,106.14209818467207,2.95460869565217,"925C,10H-3,130-132.xlsx",,
245.4167094464744,322.8953196054048,288.6457236440855,2.2156816399921166,1.6865295249323624,1.8138735200804765,107.94100038707079,2.9199375,"925C,10H-3,23-25.xlsx",,
224.198829523275,298.4936169041097,265.54156531378675,2.2127784592280886,1.6867593023724599,1.799073014290804,106.65423255179407,2.92794029850746,"925C,10H-3,48-50.xlsx",61316.34702058848,931.5532424694867
211.43270959167197,278.9260867706779,248.30024429474443,2.2050674932180847,1.6957983710282267,1.7927068084070783,105.02245016188449,2.9143125,"925C,10H-3,5-7.xlsx",53351.22419813401,873.0280530310317
221.20047335222682,289.81882540555415,259.221795026279,2.2058034870860865,1.6946968317403863,1.8066631866148788,94.2748125385682,3.00955371900826,"925C,10H-4,140-142.xlsx",,
210.44260263396373,274.3015909764038,245.52889594874745,2.200773602378131,1.699759521743477,1.809928150630609,99.2727953250545,2.97179310344828,"925C,10H-4,32-34.xlsx",,
209.03014666629127,274.01915866084147,244.74901735959767,2.2032425049477906,1.6976136496524867,1.8024405159667782,113.75575974329776,2.96226086956522,"925C,10H-4,4-6.xlsx",51017.86074059401,854.5932853353388
219.2457144877771,288.6500286466224,257.2944790841039,2.206039653016689,1.694633671008976,1.805312885869613,110.98881169808836,2.9748275862069,"925C,10H-4,40-42.xlsx",56537.43661098877,897.6892355307605
223.5404343338452,291.91138103503135,261.0098280500329,2.203184988772017,1.698022149480687,1.8114638962381688,103.03118461497658,2.98116666666667,"925C,10H-4,56-58.xlsx",,
